split,features,model,n_feat,accuracy,precision,recall,f1,fit_s,infer_ms_per_window,size_kb
random,stat-only,SVM,135,1.0,1.0,1.0,1.0,0.07103586196899414,0.12525369165541975,370.078125
random,stat-only,RandomForest,135,1.0,1.0,1.0,1.0,1.6937141418457031,0.7480182004778573,2418.9189453125
random,stat-only,MLP,135,0.9925093632958801,0.9933333333333335,0.9930555555555557,0.9930525401650021,0.6900408267974854,0.010722585385211845,627.869140625
random,physics-only,SVM,62,1.0,1.0,1.0,1.0,0.032991886138916016,0.07232208823443352,167.484375
random,physics-only,RandomForest,62,0.9962546816479401,0.9966666666666667,0.9965277777777778,0.996526270082501,1.6021907329559326,0.8488728312517373,3092.7568359375
random,physics-only,MLP,62,0.951310861423221,0.9602564102564104,0.9548611111111112,0.9543214457500172,0.4855520725250244,0.02131837137629477,408.732421875
random,stat+physics,SVM,197,1.0,1.0,1.0,1.0,0.10892200469970703,0.19801957776930448,523.93359375
random,stat+physics,RandomForest,197,1.0,1.0,1.0,1.0,1.8149302005767822,0.9200072913580619,2123.5712890625
random,stat+physics,MLP,197,0.9737827715355806,0.9777167277167278,0.96875,0.9718184070357984,0.6937637329101562,0.02787622173180741,813.787109375
random,selected-top20,SVM,20,1.0,1.0,1.0,1.0,0.017727136611938477,0.04127766755636265,44.75390625
random,selected-top20,RandomForest,20,0.9962546816479401,0.9966666666666667,0.9965277777777778,0.996526270082501,1.603126049041748,0.8770517642131905,2297.9638671875
random,selected-top20,MLP,20,0.9700374531835206,0.973878979313762,0.9652777777777778,0.9684550132109582,0.8317670822143555,0.008996506308794915,283.28515625
random,raw signal,1D CNN,3750,0.9962546816479401,0.9966666666666667,0.9965277777777778,0.996526270082501,287.011812210083,1.2813105565331848,159.546875
subject-wise,stat-only,SVM,135,1.0,1.0,1.0,1.0,0.018240928649902344,0.04505208044341116,327.73046875
subject-wise,stat-only,RandomForest,135,0.9962121212121212,0.996031746031746,0.9962121212121212,0.9960294951786727,0.4871060848236084,0.19843921516880847,2209.205078125
subject-wise,stat-only,MLP,135,0.9848484848484849,0.9867724867724869,0.9848484848484849,0.9847321855571497,0.1533031463623047,0.002014817613543886,628.0634765625
subject-wise,physics-only,SVM,62,1.0,1.0,1.0,1.0,0.009778261184692383,0.028949795347271542,151.40625
subject-wise,physics-only,RandomForest,62,0.9962121212121212,0.9966666666666667,0.9965277777777778,0.996526270082501,0.5032720565795898,0.23826866438894562,2651.7578125
subject-wise,physics-only,MLP,62,0.9545454545454546,0.9722222222222222,0.9583333333333334,0.9555555555555556,0.11094212532043457,0.0019091548341693301,408.81640625
subject-wise,stat+physics,SVM,197,1.0,1.0,1.0,1.0,0.022884130477905273,0.05985660986466841,492.984375
subject-wise,stat+physics,RandomForest,197,1.0,1.0,1.0,1.0,0.5404160022735596,0.23876807906410913,1993.5537109375
subject-wise,stat+physics,MLP,197,1.0,1.0,1.0,1.0,0.08448505401611328,0.0021701509302312675,813.59765625
subject-wise,selected-top125,SVM,125,1.0,1.0,1.0,1.0,0.01947188377380371,0.05389795158848618,341.80078125
subject-wise,selected-top125,RandomForest,125,1.0,1.0,1.0,1.0,0.49610376358032227,0.20274248990145596,2197.330078125
subject-wise,selected-top125,MLP,125,0.9962121212121212,0.9963768115942028,0.9965277777777778,0.9963750985027581,0.10045599937438965,0.0020681005535703716,597.70703125
subject-wise,raw signal,1D CNN,3750,0.8825757575757576,0.8822580645161291,0.8863636363636364,0.8832104832104832,234.79974102973938,1.0849047790874136,159.546875
