feature,subject_sensitivity,family
ankle_acc_grav_mag_std,0.34001083898104306,physics
arm_acc_grav_mag_std,0.3695912681888713,physics
chest_acc_grav_mag_std,0.38300346784354306,physics
ankle_acc_tilt_std,0.49726576710117737,physics
chest_acc_tilt_std,0.5139010714707107,physics
arm_acc_tilt_std,0.5210151935481346,physics
ankle_az_range,0.5579065522286407,stat
ankle_ax_range,0.6096622596755905,stat
ankle_ay_range,0.6192536919252342,stat
ankle_gyro_angmot_std,0.62157318547663,physics
arm_acc_grav_mag_mean,0.6473065430420599,physics
ankle_acc_body_mag_std,0.6485184019542585,physics
ankle_ay_min,0.6617252856710811,stat
ankle_gyro_dgyro_energy,0.6654553642629334,physics
ankle_acc_jerk_z_std,0.6656962628384053,physics
ankle_gyro_dgyro_mag_std,0.667758051482365,physics
ankle_gyro_dgyro_mag_mean,0.6686244858512808,physics
ankle_gyro_dgyro_x_std,0.6749473144093939,physics
ankle_gyro_dgyro_z_std,0.6776108140702349,physics
arm_gy_range,0.6926617325089014,stat
arm_gyro_dgyro_energy,0.6960072007922468,physics
ankle_acc_jerk_mag_std,0.6964370662419294,physics
arm_az_range,0.6974510133850712,stat
arm_gyro_dgyro_y_std,0.7014177784813382,physics
arm_ax_range,0.7019954959145777,stat
ankle_gyro_dgyro_y_std,0.7072118343309501,physics
chest_acc_grav_mag_mean,0.7083489058017806,physics
ankle_acc_body_mag_energy,0.709574029591351,physics
ankle_az_max,0.7119861563283111,stat
arm_gz_range,0.715086436999422,stat
arm_gyro_dgyro_mag_std,0.7164264420817057,physics
arm_gy_std,0.7177884784018559,stat
arm_gx_range,0.7198991411618332,stat
arm_gyro_dgyro_z_std,0.7236877469741043,physics
arm_gyro_dgyro_x_std,0.7241111799849457,physics
ankle_acc_jerk_energy,0.7258633252327775,physics
arm_gyro_angmot_std,0.7262718565260425,physics
ankle_acc_jerk_x_std,0.728523282802754,physics
arm_gyro_dgyro_mag_mean,0.7291571148366219,physics
arm_acc_body_mag_std,0.7321700688381241,physics
ankle_az_std,0.7327305140475437,stat
ankle_gz_range,0.7360265821497056,stat
arm_gz_std,0.7402883527773798,stat
ankle_gx_range,0.7416572406706713,stat
ankle_gz_std,0.7417718942271999,stat
arm_gx_std,0.7453296347741752,stat
arm_ay_range,0.7483243519154138,stat
chest_acc_body_mag_std,0.749550248940137,physics
ankle_ay_max,0.7511110487612976,stat
ankle_gy_range,0.751382784485982,stat
ankle_ay_std,0.7529899184519927,stat
ankle_gx_std,0.7530442019360509,stat
arm_acc_jerk_mag_std,0.7540440083542238,physics
ankle_acc_jerk_y_std,0.7540794307756854,physics
ankle_ax_std,0.7573450430591365,stat
ankle_acc_body_mag_mean,0.7577677757368537,physics
ankle_ax_max,0.7628030715458064,stat
arm_acc_jerk_x_std,0.7637101881776932,physics
chest_ax_range,0.7650039078464755,stat
chest_ay_range,0.7733705224396878,stat
ankle_az_min,0.7778293750100923,stat
ankle_gy_std,0.7783674472829785,stat
arm_acc_jerk_energy,0.7803367883002378,physics
ankle_acc_grav_mag_mean,0.7825541327942407,physics
arm_ax_std,0.7912251256645854,stat
arm_acc_jerk_z_std,0.7917921745078095,physics
chest_ax_min,0.7924630819631097,stat
arm_az_std,0.7927657214646117,stat
ankle_acc_jerk_mag_mean,0.800701836839953,physics
ankle_ax_min,0.8038986744062889,stat
arm_ax_max,0.8048641958033098,stat
chest_az_range,0.8105414477067038,stat
arm_acc_body_mag_energy,0.8167395648705087,physics
arm_ay_min,0.8195151298647495,stat
arm_ay_max,0.8249705956872093,stat
arm_ay_std,0.8250891667422673,stat
arm_ay_q75,0.8251970001937331,stat
chest_acc_jerk_mag_std,0.8258927324428322,physics
chest_acc_jerk_y_std,0.8267360930423017,physics
arm_acc_jerk_y_std,0.8334587561795521,physics
chest_acc_body_mag_energy,0.839847992760245,physics
chest_acc_jerk_x_std,0.8509467526399345,physics
