,standing,sitting,lying,walking,stairs,waist_bend,arm_elevation,knee_bend,cycling,jogging,running,jump
standing,109,11,0,0,0,0,0,0,0,0,0,0
sitting,12,108,0,0,0,0,0,0,0,0,0,0
lying,0,0,120,0,0,0,0,0,0,0,0,0
walking,0,0,0,120,0,0,0,0,0,0,0,0
stairs,0,0,0,0,119,0,0,1,0,0,0,0
waist_bend,0,0,0,0,0,108,0,0,0,0,0,0
arm_elevation,0,0,0,0,0,0,115,0,0,0,0,0
knee_bend,0,0,0,0,2,0,0,110,0,0,0,0
cycling,0,0,0,0,0,0,0,3,117,0,0,0
jogging,0,0,0,0,0,0,0,0,0,113,7,0
running,0,0,0,0,0,0,0,0,0,12,108,0
jump,0,0,0,0,0,0,0,0,0,0,0,40
