,accuracy,precision,recall,f1
S1,0.9562043795620438,0.969079939668175,0.9588675213675214,0.9570356926799758
S2,0.9710144927536232,0.9791666666666666,0.9305555555555555,0.9344720496894411
S3,0.9124087591240876,0.8668831168831169,0.9166666666666666,0.8857466063348417
S4,0.9347826086956522,0.9642857142857143,0.9375,0.9272727272727272
S5,1.0,1.0,1.0,1.0
S6,0.808,0.8333333333333334,0.8333333333333334,0.8333333333333334
S7,1.0,1.0,1.0,1.0
S8,0.8307692307692308,0.7916666666666666,0.8333333333333334,0.8055555555555555
S9,1.0,1.0,1.0,1.0
S10,1.0,1.0,1.0,1.0
mean,0.9413179470904638,0.9404415437503673,0.941025641025641,0.9343415964865874
