features,n_feat,model,accuracy,precision,recall,f1,f1_std,worst_subject_f1
top40 mixed,40,RandomForest,0.9788902993758596,0.9786374165050635,0.9799145299145298,0.9767389382446063,0.041776997716470816,0.8603174603174604
top20 stat,20,RandomForest,0.9788902993758596,0.9796460892049128,0.9798611111111111,0.9758921439783114,0.04631491213141313,0.8525912482355312
stat+physics (197),197,RandomForest,0.978106167354279,0.9786479207067444,0.9792200854700855,0.9755772437684836,0.039412297037440674,0.8749028749028748
top40 stat,40,RandomForest,0.9683167920288968,0.9741605616605618,0.9675,0.9623350305936119,0.051150288788347806,0.8444444444444444
top20 mixed,20,RandomForest,0.9654217341872527,0.96254767291532,0.96741452991453,0.9612339923048779,0.048632304567010724,0.8525912482355312
stat-only (135),135,RandomForest,0.9655130174385015,0.9702707380338961,0.9654700854700856,0.9610117240146941,0.041488529807716036,0.8819323671497585
top10 stat,10,SVM,0.963316064048534,0.9626739926739927,0.9652777777777779,0.957957438294395,0.057336041350932024,0.8263888888888888
top20 mixed,20,SVM,0.9589967490380532,0.953975279106858,0.961111111111111,0.9508338102265996,0.05916352578797973,0.8357579590976174
stat+physics (197),197,SVM,0.957492579482297,0.9574621212121212,0.9555555555555555,0.9482382880688507,0.062147713737362754,0.8055555555555555
top10 stat,10,RandomForest,0.9529384882111109,0.9472009137663164,0.9551767676767676,0.9454821792542386,0.061194783472060046,0.8357579590976174
top40 mixed,40,SVM,0.951839845714425,0.9570362487753794,0.954861111111111,0.9448357292749876,0.059514166106656774,0.8444444444444444
stat+physics (197),197,MLP,0.950431065433033,0.9498023715415019,0.9497222222222224,0.9410418162991693,0.061373090582649246,0.8388888888888889
physics-only (62),62,RandomForest,0.9488619758994652,0.9547435897435899,0.9493589743589743,0.9410262944248451,0.048236094098244496,0.8782110267617513
top40 physics,40,RandomForest,0.9482975641132189,0.9541404354383893,0.9500534188034188,0.9409933964563754,0.05984432928831011,0.805880579431304
top40 mixed,40,MLP,0.9494073276903329,0.9409039979628215,0.9527777777777778,0.9400074266306785,0.0549776660668804,0.8677248677248678
top20 stat,20,SVM,0.9472092278708063,0.9473196159294558,0.9500534188034189,0.937135591991297,0.07434137519222764,0.7921855921855921
top40 stat,40,SVM,0.947741664931328,0.9568897913680523,0.9477777777777778,0.9365639472830548,0.06246507059531548,0.8263888888888888
top20 mixed,20,MLP,0.9420769632942955,0.9497729410047185,0.944675925925926,0.9351068054191097,0.06416413986356054,0.8212641989815902
stat-only (135),135,SVM,0.9413179470904638,0.9404415437503673,0.9410256410256409,0.9343415964865873,0.0685267089327444,0.8055555555555555
top40 physics,40,SVM,0.9448731519115998,0.9474837662337663,0.9458333333333332,0.9340962632139103,0.053227539793620854,0.8603174603174604
top20 physics,20,RandomForest,0.9409922706454943,0.9420975266563503,0.9451923076923077,0.933713148445096,0.05221102352073062,0.8693001443001444
top40 stat,40,MLP,0.9413978556163215,0.9332382134773439,0.9430555555555555,0.9309412425435444,0.06601437964366588,0.8087264043146396
top20 stat,20,MLP,0.9363458620217584,0.933794618974152,0.9400000000000001,0.9253881146976342,0.04874035649582553,0.8525912482355312
top10 stat,10,MLP,0.9331904789319603,0.9363331943702787,0.9356813325563325,0.9224610366078447,0.06450999982891978,0.8263888888888888
top20 physics,20,SVM,0.9283267498739886,0.9213676552492341,0.93125,0.917194522861822,0.05725759999263728,0.8357579590976174
top40 physics,40,MLP,0.9258508311077097,0.911460980539928,0.9291666666666666,0.9115459604617449,0.06306675570551827,0.7777777777777777
stat-only (135),135,MLP,0.915210522024309,0.9088379164694956,0.9176719114219113,0.901052626707228,0.05516984253967891,0.8055555555555555
physics-only (62),62,MLP,0.9112665588971296,0.9045259066698694,0.9139423076923077,0.9001407345680056,0.08212233299916034,0.729237646134198
physics-only (62),62,SVM,0.9098258234652103,0.9011592111592112,0.9145833333333332,0.8966634283167464,0.0757821421636756,0.7777777777777777
top20 physics,20,MLP,0.8985252087269421,0.8822602337276251,0.9063034188034189,0.885887084734911,0.0525133343524871,0.7910232762406674
top10 mixed,10,RandomForest,0.8733000813509969,0.8834394052307802,0.8815365190365189,0.8683418026009241,0.05666703705859586,0.7879710144927535
top10 physics,10,RandomForest,0.8421593755000819,0.8533132092608637,0.853180846930847,0.8376970307202599,0.07183832966984947,0.7128179153666411
top10 mixed,10,MLP,0.8267634091476284,0.8265320368282767,0.8352612665112666,0.8074330240251569,0.08021023502889044,0.703975164120726
top10 mixed,10,SVM,0.8180199997992347,0.7786181964052807,0.8278846153846156,0.7876364496559509,0.04692031883078634,0.7404166666666666
top10 physics,10,MLP,0.7998940909191739,0.7782840677881144,0.8104506604506604,0.7730576821893425,0.056160498066849356,0.6714137191311105
top10 physics,10,SVM,0.7822273239830804,0.7363113792364486,0.7917735042735042,0.7424659609712674,0.0438874264226372,0.6708212560386473
